city,population_2020,sumlev,state,county,place,cousub,concit,primgeo_flag,funcstat,stname,estimatesbase2020,popestimate2021,popestimate2022,popestimate2023,size_category,population_rank,region
Ackley,1595,162,19,000,00190,00000,00000,0,A,Iowa,1599,1579,1558,1538,Village,192,Other
Ackworth,117,162,19,000,00235,00000,00000,0,A,Iowa,117,119,118,117,Village,627,Other
Adair,793,162,19,000,00370,00000,00000,0,A,Iowa,794,795,790,781,Village,319,Other
Adel,6176,162,19,000,00505,00000,00000,0,A,Iowa,6156,6283,6470,6474,Small Town,63,Other
Afton,870,162,19,000,00595,00000,00000,0,A,Iowa,870,867,861,863,Village,302,Other
Agency,615,162,19,000,00640,00000,00000,0,A,Iowa,617,619,615,614,Village,379,Other
Ainsworth,508,162,19,000,00730,00000,00000,0,A,Iowa,509,510,512,513,Village,406,Other
Akron,1550,162,19,000,00775,00000,00000,0,A,Iowa,1554,1548,1541,1542,Village,198,Other
Albert City,675,162,19,000,00865,00000,00000,0,A,Iowa,676,671,659,626,Village,366,Other
Albia,3725,162,19,000,00910,00000,00000,0,A,Iowa,3716,3713,3678,3661,Village,108,Other
Albion,449,162,19,000,00955,00000,00000,0,A,Iowa,449,445,440,441,Village,428,Other
Alburnett,675,162,19,000,01000,00000,00000,0,A,Iowa,673,671,666,667,Village,366,Other
Alden,761,162,19,000,01045,00000,00000,0,A,Iowa,763,753,745,738,Village,331,Other
Alexander,167,162,19,000,01090,00000,00000,0,A,Iowa,167,166,166,163,Village,589,Other
Algona,5478,162,19,000,01135,00000,00000,0,A,Iowa,5487,5388,5374,5342,Small Town,73,Other
Alleman,433,162,19,000,01180,00000,00000,0,A,Iowa,434,437,434,434,Village,433,Other
Allerton,431,162,19,000,01270,00000,00000,0,A,Iowa,430,430,428,432,Village,435,Other
Allison,967,162,19,000,01315,00000,00000,0,A,Iowa,967,963,953,942,Village,273,Other
Alta,2086,162,19,000,01495,00000,00000,0,A,Iowa,2088,2080,2040,2018,Village,153,Other
Alta Vista,226,162,19,000,01540,00000,00000,0,A,Iowa,226,224,220,217,Village,549,Other
Alton,1244,162,19,000,01585,00000,00000,0,A,Iowa,1245,1238,1238,1243,Village,230,Other
Altoona,19674,162,19,000,01630,00000,00000,0,A,Iowa,19593,20764,21512,21698,Town,27,Other
Alvord,209,162,19,000,01675,00000,00000,0,A,Iowa,209,210,214,215,Village,558,Other
Ames,66487,162,19,000,01855,00000,00000,0,A,Iowa,66428,67024,65582,65686,Medium City,9,Other
Anamosa,5451,162,19,000,01990,00000,00000,0,A,Iowa,5445,5512,5654,5704,Small Town,75,Other
Andover,108,162,19,000,02080,00000,00000,0,A,Iowa,108,108,107,107,Village,636,Other
Andrew,377,162,19,000,02125,00000,00000,0,A,Iowa,378,378,376,375,Village,462,Other
Anita,964,162,19,000,02260,00000,00000,0,A,Iowa,965,960,966,965,Village,274,Other
Ankeny,68527,162,19,000,02305,00000,00000,0,A,Iowa,68062,70627,72433,74458,Medium City,7,Other
Anthon,541,162,19,000,02350,00000,00000,0,A,Iowa,542,532,531,531,Village,395,Other
Aplington,1111,162,19,000,02395,00000,00000,0,A,Iowa,1112,1107,1096,1089,Village,249,Other
Arcadia,529,162,19,000,02485,00000,00000,0,A,Iowa,525,548,565,578,Village,399,Other
Archer,116,162,19,000,02530,00000,00000,0,A,Iowa,116,114,115,114,Village,628,Other
Aredale,60,162,19,000,02620,00000,00000,0,A,Iowa,60,60,59,59,Village,677,Other
Arion,98,162,19,000,02755,00000,00000,0,A,Iowa,98,96,96,95,Village,644,Other
Arispe,96,162,19,000,02800,00000,00000,0,A,Iowa,96,95,94,94,Village,646,Other
Arlington,421,162,19,000,02845,00000,00000,0,A,Iowa,422,419,420,418,Village,440,Other
Armstrong,869,162,19,000,02935,00000,00000,0,A,Iowa,873,871,856,856,Village,303,Other
Arnolds Park,1115,162,19,000,03025,00000,00000,0,A,Iowa,1107,1150,1147,1185,Village,248,Other
Arthur,222,162,19,000,03115,00000,00000,0,A,Iowa,221,221,220,216,Village,551,Other
Asbury,5961,162,19,000,03160,00000,00000,0,A,Iowa,5948,5983,5974,6007,Small Town,66,Other
Ashton,452,162,19,000,03295,00000,00000,0,A,Iowa,451,448,441,432,Village,427,Other
Aspinwall,35,162,19,000,03340,00000,00000,0,A,Iowa,35,34,34,34,Village,696,Other
Atalissa,296,162,19,000,03385,00000,00000,0,A,Iowa,297,293,288,287,Village,502,Other
Atkins,2062,162,19,000,03475,00000,00000,0,A,Iowa,2058,2096,2118,2140,Village,156,Other
Atlantic,6791,162,19,000,03520,00000,00000,0,A,Iowa,6797,6768,6787,6781,Small Town,60,Other
Auburn,263,162,19,000,03610,00000,00000,0,A,Iowa,264,263,259,258,Village,522,Other
Audubon,2059,162,19,000,03655,00000,00000,0,A,Iowa,2058,2042,2013,1999,Village,157,Other
Aurelia,968,162,19,000,03745,00000,00000,0,A,Iowa,968,956,956,970,Village,272,Other
Aurora,166,162,19,000,03835,00000,00000,0,A,Iowa,166,166,166,166,Village,590,Other
Avoca,1687,162,19,000,03970,00000,00000,0,A,Iowa,1684,1683,1671,1678,Village,185,Other
Ayrshire,133,162,19,000,04105,00000,00000,0,A,Iowa,133,132,130,129,Village,616,Other
Badger,524,162,19,000,04195,00000,00000,0,A,Iowa,524,539,535,532,Village,402,Other
Bagley,232,162,19,000,04240,00000,00000,0,A,Iowa,232,228,230,230,Village,544,Other
Baldwin,101,162,19,000,04330,00000,00000,0,A,Iowa,101,100,100,100,Village,642,Other
Balltown,79,162,19,000,04375,00000,00000,0,A,Iowa,79,78,79,79,Village,661,Other
Bancroft,699,162,19,000,04420,00000,00000,0,A,Iowa,700,684,683,680,Village,360,Other
Bankston,24,162,19,000,04510,00000,00000,0,A,Iowa,24,24,23,23,Village,704,Other
Barnes City,154,162,19,000,04555,00000,00000,0,A,Iowa,154,152,152,151,Village,599,Other
Barnum,176,162,19,000,04645,00000,00000,0,A,Iowa,176,176,173,178,Village,585,Other
Bassett,43,162,19,000,04780,00000,00000,0,A,Iowa,43,42,42,42,Village,689,Other
Batavia,433,162,19,000,04825,00000,00000,0,A,Iowa,433,435,431,424,Village,433,Other
Battle Creek,703,162,19,000,04870,00000,00000,0,A,Iowa,701,698,693,685,Village,357,Other
Baxter,970,162,19,000,04915,00000,00000,0,A,Iowa,969,975,977,976,Village,271,Other
Bayard,406,162,19,000,04960,00000,00000,0,A,Iowa,407,402,404,404,Village,445,Other
Beacon,434,162,19,000,05050,00000,00000,0,A,Iowa,435,431,431,431,Village,432,Other
Beaconsfield,15,162,19,000,05095,00000,00000,0,A,Iowa,15,15,15,15,Village,710,Other
Beaman,160,162,19,000,05140,00000,00000,0,A,Iowa,160,160,160,159,Village,595,Other
Beaver,45,162,19,000,05185,00000,00000,0,A,Iowa,45,45,44,44,Village,687,Other
Bedford,1493,162,19,000,05365,00000,00000,0,A,Iowa,1501,1495,1494,1503,Village,205,Other
Belle Plaine,2327,162,19,000,05590,00000,00000,0,A,Iowa,2331,2339,2337,2340,Village,148,Other
Bellevue,2357,162,19,000,05635,00000,00000,0,A,Iowa,2363,2347,2328,2320,Village,146,Other
Belmond,2461,162,19,000,05680,00000,00000,0,A,Iowa,2466,2436,2410,2399,Village,141,Other
Bennett,348,162,19,000,05770,00000,00000,0,A,Iowa,348,345,339,335,Village,478,Other
Benton,40,162,19,000,05905,00000,00000,0,A,Iowa,40,40,40,40,Village,691,Other
Berkley,22,162,19,000,06040,00000,00000,0,A,Iowa,22,22,22,21,Village,706,Other
Bernard,115,162,19,000,06085,00000,00000,0,A,Iowa,115,114,116,116,Village,629,Other
Bertram,270,162,19,000,06175,00000,00000,0,A,Iowa,270,267,267,267,Village,515,Other
Bettendorf,39125,162,19,000,06355,00000,00000,0,A,Iowa,39097,39328,39532,39858,Small City,15,Other
Bevington,55,162,19,000,06490,00000,00000,0,A,Iowa,55,55,55,59,Village,680,Other
Birmingham,370,162,19,000,06625,00000,00000,0,A,Iowa,369,372,371,372,Village,465,Other
Blairsburg,176,162,19,000,06760,00000,00000,0,A,Iowa,176,174,175,176,Village,585,Other
Blairstown,706,162,19,000,06805,00000,00000,0,A,Iowa,707,708,706,704,Village,356,Other
Blakesburg,272,162,19,000,06850,00000,00000,0,A,Iowa,273,272,270,269,Village,513,Other
Blanchard,30,162,19,000,06895,00000,00000,0,A,Iowa,30,30,30,29,Village,699,Other
Blencoe,233,162,19,000,06940,00000,00000,0,A,Iowa,233,228,228,227,Village,543,Other
Blockton,123,162,19,000,06985,00000,00000,0,A,Iowa,124,123,123,125,Village,623,Other
Bloomfield,2683,162,19,000,07030,00000,00000,0,A,Iowa,2682,2696,2773,2772,Village,129,Other
Blue Grass,1665,162,19,000,07075,00000,00000,0,A,Iowa,1666,1673,1678,1686,Village,188,Other
Bode,306,162,19,000,07210,00000,00000,0,A,Iowa,306,305,302,301,Village,496,Other
Bonaparte,360,162,19,000,07345,00000,00000,0,A,Iowa,359,362,360,361,Village,470,Other
Bondurant,7439,162,19,000,07390,00000,00000,0,A,Iowa,7373,8052,8705,8959,Small Town,55,Other
Boone,12452,162,19,000,07480,00000,00000,0,A,Iowa,12453,12490,12386,12416,Town,33,Other
Bouton,130,162,19,000,07660,00000,00000,0,A,Iowa,130,130,129,126,Village,618,Other
Boxholm,178,162,19,000,07750,00000,00000,0,A,Iowa,178,178,175,173,Village,583,Other
Boyden,701,162,19,000,07840,00000,00000,0,A,Iowa,702,697,693,697,Village,358,Other
Braddyville,142,162,19,000,07930,00000,00000,0,A,Iowa,142,142,141,139,Village,610,Other
Bradgate,75,162,19,000,08065,00000,00000,0,A,Iowa,75,75,75,74,Village,665,Other
Brandon,337,162,19,000,08155,00000,00000,0,A,Iowa,336,337,336,333,Village,485,Other
Brayton,143,162,19,000,08200,00000,00000,0,A,Iowa,143,142,138,137,Village,609,Other
Breda,497,162,19,000,08290,00000,00000,0,A,Iowa,498,500,496,494,Village,413,Other
Bridgewater,148,162,19,000,08425,00000,00000,0,A,Iowa,148,149,147,145,Village,604,Other
Brighton,598,162,19,000,08470,00000,00000,0,A,Iowa,599,594,591,589,Village,384,Other
Bristow,144,162,19,000,08560,00000,00000,0,A,Iowa,144,144,142,139,Village,608,Other
Britt,2036,162,19,000,08605,00000,00000,0,A,Iowa,2045,2020,2002,2004,Village,160,Other
Bronson,299,162,19,000,08650,00000,00000,0,A,Iowa,300,298,296,294,Village,501,Other
Brooklyn,1496,162,19,000,08695,00000,00000,0,A,Iowa,1497,1486,1469,1464,Village,204,Other
Brunsville,128,162,19,000,08875,00000,00000,0,A,Iowa,128,127,127,129,Village,620,Other
Buckeye,84,162,19,000,09100,00000,00000,0,A,Iowa,84,83,82,82,Village,657,Other
Buck Grove,35,162,19,000,09145,00000,00000,0,A,Iowa,35,34,34,34,Village,696,Other
Buffalo,1179,162,19,000,09235,00000,00000,0,A,Iowa,1181,1173,1164,1164,Village,237,Other
Buffalo Center,861,162,19,000,09280,00000,00000,0,A,Iowa,862,859,855,847,Village,305,Other
Burlington,23932,162,19,000,09550,00000,00000,0,A,Iowa,23988,23730,23581,23565,Town,23,Other
Burt,417,162,19,000,09685,00000,00000,0,A,Iowa,418,409,406,405,Village,441,Other
Bussey,379,162,19,000,09730,00000,00000,0,A,Iowa,380,376,374,374,Village,460,Other
Calamus,354,162,19,000,09820,00000,00000,0,A,Iowa,354,354,351,350,Village,474,Other
Callender,371,162,19,000,09955,00000,00000,0,A,Iowa,371,368,362,359,Village,464,Other
Calmar,1132,162,19,000,10045,00000,00000,0,A,Iowa,1134,1119,1109,1097,Village,244,Other
Calumet,145,162,19,000,10090,00000,00000,0,A,Iowa,145,143,143,141,Village,607,Other
Camanche,4571,162,19,000,10135,00000,00000,0,A,Iowa,4572,4578,4556,4552,Village,92,Other
Cambridge,828,162,19,000,10225,00000,00000,0,A,Iowa,829,835,828,828,Village,313,Other
Cantril,223,162,19,000,10450,00000,00000,0,A,Iowa,223,225,224,225,Village,550,Other
Carbon,32,162,19,000,10585,00000,00000,0,A,Iowa,32,31,31,30,Village,697,Other
Carlisle,4166,162,19,000,10765,00000,00000,0,A,Iowa,4160,4195,4283,4326,Village,101,Other
Carpenter,89,162,19,000,11035,00000,00000,0,A,Iowa,89,89,90,90,Village,652,Other
Carroll,10300,162,19,000,11080,00000,00000,0,A,Iowa,10319,10282,10181,10163,Town,41,Other
Carson,768,162,19,000,11170,00000,00000,0,A,Iowa,766,765,765,766,Village,328,Other
Carter Lake,3790,162,19,000,11215,00000,00000,0,A,Iowa,3792,3772,3757,3759,Village,107,Other
Cascade,2390,162,19,000,11305,00000,00000,0,A,Iowa,2388,2394,2384,2385,Village,143,Other
Casey,383,162,19,000,11395,00000,00000,0,A,Iowa,384,379,386,385,Village,457,Other
Castalia,144,162,19,000,11485,00000,00000,0,A,Iowa,144,142,141,139,Village,608,Other
Castana,105,162,19,000,11530,00000,00000,0,A,Iowa,105,103,102,103,Village,638,Other
Cedar Falls,40702,162,19,000,11755,00000,00000,0,A,Iowa,40726,40668,40570,40737,Small City,14,Other
Cedar Rapids,137758,162,19,000,12000,00000,00000,0,A,Iowa,137728,136874,136392,135958,Large City,2,Other
Center Point,2584,162,19,000,12270,00000,00000,0,A,Iowa,2585,2570,2556,2549,Village,134,Other
Centerville,5407,162,19,000,12315,00000,00000,0,A,Iowa,5422,5388,5357,5344,Small Town,77,Other
Central City,1267,162,19,000,12495,00000,00000,0,A,Iowa,1266,1254,1246,1241,Village,224,Other
Centralia,116,162,19,000,12630,00000,00000,0,A,Iowa,116,115,115,117,Village,628,Other
Chariton,4189,162,19,000,12720,00000,00000,0,A,Iowa,4196,4229,4228,4280,Village,99,Other
Charles City,7382,162,19,000,12765,00000,00000,0,A,Iowa,7400,7312,7242,7228,Small Town,56,Other
Charlotte,390,162,19,000,12855,00000,00000,0,A,Iowa,391,393,391,389,Village,453,Other
Charter Oak,532,162,19,000,12900,00000,00000,0,A,Iowa,533,522,518,511,Village,398,Other
Chatsworth,74,162,19,000,12945,00000,00000,0,A,Iowa,74,74,75,74,Village,666,Other
Chelsea,226,162,19,000,12990,00000,00000,0,A,Iowa,227,224,224,220,Village,549,Other
Cherokee,5195,162,19,000,13080,00000,00000,0,A,Iowa,5196,5138,5119,5167,Small Town,81,Other
Chester,136,162,19,000,13125,00000,00000,0,A,Iowa,136,136,136,133,Village,614,Other
Chillicothe,76,162,19,000,13215,00000,00000,0,A,Iowa,76,76,75,78,Village,664,Other
Churdan,365,162,19,000,13350,00000,00000,0,A,Iowa,366,363,360,357,Village,466,Other
Cincinnati,288,162,19,000,13395,00000,00000,0,A,Iowa,289,287,284,283,Village,505,Other
Clare,140,162,19,000,13485,00000,00000,0,A,Iowa,140,140,137,136,Village,612,Other
Clarence,1037,162,19,000,13530,00000,00000,0,A,Iowa,1038,1029,1017,1004,Village,261,Other
Clarinda,5364,162,19,000,13575,00000,00000,0,A,Iowa,5369,5375,5388,5305,Small Town,79,Other
Clarion,2805,162,19,000,13620,00000,00000,0,A,Iowa,2811,2782,2756,2745,Village,126,Other
Clarksville,1261,162,19,000,13755,00000,00000,0,A,Iowa,1262,1259,1244,1243,Village,226,Other
Clayton,46,162,19,000,13845,00000,00000,0,A,Iowa,46,46,46,46,Village,686,Other
Clearfield,278,162,19,000,13980,00000,00000,0,A,Iowa,279,278,278,282,Village,508,Other
Clear Lake,7660,162,19,000,14025,00000,00000,0,A,Iowa,7676,7593,7558,7567,Small Town,51,Other
Cleghorn,239,162,19,000,14115,00000,00000,0,A,Iowa,239,236,233,236,Village,538,Other
Clemons,136,162,19,000,14160,00000,00000,0,A,Iowa,136,135,133,133,Village,614,Other
Clermont,577,162,19,000,14250,00000,00000,0,A,Iowa,579,572,576,571,Village,388,Other
Clinton,24444,162,19,000,14430,00000,00000,0,A,Iowa,24467,24457,24346,24239,Town,20,Other
Clio,66,162,19,000,14475,00000,00000,0,A,Iowa,66,66,66,67,Village,673,Other
Clive,18654,162,19,000,14520,00000,00000,0,A,Iowa,18602,18887,18922,19005,Town,28,Other
Clutier,211,162,19,000,14655,00000,00000,0,A,Iowa,212,209,209,208,Village,556,Other
Coburg,27,162,19,000,14880,00000,00000,0,A,Iowa,27,27,27,27,Village,702,Other
Coggon,703,162,19,000,14925,00000,00000,0,A,Iowa,704,696,692,686,Village,357,Other
Coin,176,162,19,000,14970,00000,00000,0,A,Iowa,176,176,175,172,Village,585,Other
Colesburg,386,162,19,000,15015,00000,00000,0,A,Iowa,387,387,384,383,Village,454,Other
Colfax,2253,162,19,000,15060,00000,00000,0,A,Iowa,2255,2254,2252,2262,Village,150,Other
College Springs,172,162,19,000,15105,00000,00000,0,A,Iowa,172,172,171,169,Village,587,Other
Collins,498,162,19,000,15195,00000,00000,0,A,Iowa,496,503,499,496,Village,412,Other
Colo,847,162,19,000,15240,00000,00000,0,A,Iowa,848,850,845,842,Village,308,Other
Columbus City,386,162,19,000,15375,00000,00000,0,A,Iowa,387,384,382,378,Village,454,Other
Columbus Junction,1830,162,19,000,15420,00000,00000,0,A,Iowa,1834,1810,1788,1771,Village,174,Other
Colwell,58,162,19,000,15465,00000,00000,0,A,Iowa,58,57,57,57,Village,679,Other
Conesville,350,162,19,000,15645,00000,00000,0,A,Iowa,351,348,345,346,Village,476,Other
Conrad,1092,162,19,000,15825,00000,00000,0,A,Iowa,1092,1092,1092,1095,Village,251,Other
Conway,16,162,19,000,15960,00000,00000,0,A,Iowa,16,16,16,16,Village,709,Other
Coon Rapids,1303,162,19,000,16050,00000,00000,0,A,Iowa,1305,1298,1274,1268,Village,220,Other
Coppock,37,162,19,000,16140,00000,00000,0,A,Iowa,37,37,37,36,Village,694,Other
Coralville,22333,162,19,000,16230,00000,00000,0,A,Iowa,22331,22937,23172,23596,Town,25,Other
Corning,1568,162,19,000,16500,00000,00000,0,A,Iowa,1567,1534,1515,1491,Village,195,Other
Correctionville,760,162,19,000,16545,00000,00000,0,A,Iowa,761,750,743,746,Village,332,Other
Corwith,266,162,19,000,16590,00000,00000,0,A,Iowa,267,264,262,260,Village,519,Other
Corydon,1522,162,19,000,16635,00000,00000,0,A,Iowa,1521,1527,1515,1537,Village,202,Other
Cotter,38,162,19,000,16725,00000,00000,0,A,Iowa,38,37,37,37,Village,693,Other
Coulter,219,162,19,000,16815,00000,00000,0,A,Iowa,219,218,216,217,Village,553,Other
Council Bluffs,62790,162,19,000,16860,00000,00000,0,A,Iowa,62792,62580,62322,62399,Medium City,10,Other
Craig,77,162,19,000,16950,00000,00000,0,A,Iowa,77,77,76,76,Village,663,Other
Crawfordsville,277,162,19,000,17130,00000,00000,0,A,Iowa,278,278,277,278,Village,509,Other
Crescent,626,162,19,000,17175,00000,00000,0,A,Iowa,626,626,622,624,Village,376,Other
Cresco,3903,162,19,000,17220,00000,00000,0,A,Iowa,3892,3918,3939,3897,Village,104,Other
Creston,7534,162,19,000,17265,00000,00000,0,A,Iowa,7542,7480,7388,7392,Small Town,54,Other
Cromwell,105,162,19,000,17490,00000,00000,0,A,Iowa,105,104,103,103,Village,638,Other
Crystal Lake,253,162,19,000,17670,00000,00000,0,A,Iowa,254,249,249,244,Village,528,Other
Cumberland,248,162,19,000,17760,00000,00000,0,A,Iowa,248,249,253,250,Village,532,Other
Cumming,432,162,19,000,17850,00000,00000,0,A,Iowa,430,454,485,501,Village,434,Other
Curlew,40,162,19,000,17895,00000,00000,0,A,Iowa,40,39,39,39,Village,691,Other
Cushing,230,162,19,000,17940,00000,00000,0,A,Iowa,230,227,225,223,Village,546,Other
Cylinder,87,162,19,000,17985,00000,00000,0,A,Iowa,87,86,85,85,Village,654,Other
Dakota City,759,162,19,000,18075,00000,00000,0,A,Iowa,759,764,759,756,Village,333,Other
Dallas Center,1909,162,19,000,18255,00000,00000,0,A,Iowa,1904,1925,1954,1966,Village,171,Other
Dana,35,162,19,000,18345,00000,00000,0,A,Iowa,35,35,35,34,Village,696,Other
Danbury,318,162,19,000,18390,00000,00000,0,A,Iowa,319,312,311,311,Village,492,Other
Danville,921,162,19,000,18435,00000,00000,0,A,Iowa,923,912,907,908,Village,288,Other
Davenport,101651,162,19,000,19000,00000,00000,0,A,Iowa,101727,101041,100339,100354,Large City,3,Other
Davis City,177,162,19,000,19090,00000,00000,0,A,Iowa,178,179,180,179,Village,584,Other
Dawson,112,162,19,000,19135,00000,00000,0,A,Iowa,112,112,112,110,Village,632,Other
Dayton,774,162,19,000,19180,00000,00000,0,A,Iowa,774,772,762,759,Village,325,Other
Decatur,176,162,19,000,19315,00000,00000,0,A,Iowa,177,178,178,178,Village,585,Other
Decorah,7578,162,19,000,19405,00000,00000,0,A,Iowa,7583,7600,7614,7578,Small Town,52,Other
Dedham,223,162,19,000,19450,00000,00000,0,A,Iowa,223,222,219,221,Village,550,Other
Deep River,251,162,19,000,19495,00000,00000,0,A,Iowa,251,251,248,249,Village,529,Other
Defiance,247,162,19,000,19585,00000,00000,0,A,Iowa,248,247,243,245,Village,533,Other
Delaware,140,162,19,000,19630,00000,00000,0,A,Iowa,140,140,140,139,Village,612,Other
Delhi,414,162,19,000,19675,00000,00000,0,A,Iowa,413,417,428,432,Village,442,Other
Delmar,544,162,19,000,19720,00000,00000,0,A,Iowa,545,544,538,542,Village,394,Other
Deloit,250,162,19,000,19765,00000,00000,0,A,Iowa,250,246,244,242,Village,530,Other
Delta,261,162,19,000,19855,00000,00000,0,A,Iowa,262,257,257,258,Village,524,Other
Denison,8351,162,19,000,19945,00000,00000,0,A,Iowa,8367,8224,8177,8114,Small Town,47,Other
Denver,1921,162,19,000,20035,00000,00000,0,A,Iowa,1921,1933,1943,1946,Village,169,Other
Derby,88,162,19,000,20125,00000,00000,0,A,Iowa,88,89,89,89,Village,653,Other
Des Moines,213826,162,19,000,21000,00000,00000,0,A,Iowa,214124,212625,211048,210381,Large City,1,Other
De Soto,922,162,19,000,21045,00000,00000,0,A,Iowa,918,931,938,933,Village,287,Other
DeWitt,5517,162,19,000,21180,00000,00000,0,A,Iowa,5515,5533,5522,5587,Small Town,71,Other
Dexter,641,162,19,000,21225,00000,00000,0,A,Iowa,640,643,637,629,Village,370,Other
Diagonal,338,162,19,000,21270,00000,00000,0,A,Iowa,339,337,342,338,Village,484,Other
Dickens,146,162,19,000,21360,00000,00000,0,A,Iowa,147,147,147,147,Village,606,Other
Dike,1300,162,19,000,21405,00000,00000,0,A,Iowa,1300,1299,1296,1298,Village,221,Other
Dixon,203,162,19,000,21540,00000,00000,0,A,Iowa,203,203,202,204,Village,563,Other
Dolliver,66,162,19,000,21675,00000,00000,0,A,Iowa,66,65,64,64,Village,673,Other
Donahue,333,162,19,000,21720,00000,00000,0,A,Iowa,334,334,334,336,Village,487,Other
Donnellson,887,162,19,000,21810,00000,00000,0,A,Iowa,887,884,873,866,Village,298,Other
